Site,Latitude,Longitude,Index,Time
"Auchencorth Moss",55.792161111111,3.2429,3,"2015-03-21 14:00:00"
"Bush Estate",55.862280555556,3.2057833333333,3,"2015-03-21 14:00:00"
"Dumbarton Roadside",55.943197222222,4.5597305555556,1,"2015-03-21 14:00:00"
Grangemouth,56.010319444444,3.7044,2,"2015-03-21 13:00:00"
"Grangemouth Moray",56.013141666667,3.7108333333333,1,"2015-03-21 14:00:00"
"Edinburgh St Leonards",55.945588888889,3.1821861111111,2,"2015-03-21 14:00:00"
"Glasgow Great Western Road",55.872038888889,4.2709361111111,1,"2015-03-21 14:00:00"
"Glasgow High Street",55.860936111111,4.2382138888889,1,"2015-03-21 14:00:00"
"Glasgow Kerbside",55.859169444444,4.2588888888889,2,"2015-03-21 14:00:00"
"Glasgow Townhead",55.865783333333,4.2436305555556,2,"2015-03-21 14:00:00"
Bottesford,52.930280555556,0.81472222222222,3,"2015-03-21 14:00:00"
"Chesterfield Roadside",53.231722222222,1.4569444444444,2,"2015-03-21 14:00:00"
Ladybower,53.403369444444,1.7520055555556,2,"2015-03-21 14:00:00"
"Lincoln Canwick Rd.",53.221372222222,0.53418888888889,1,"2015-03-21 14:00:00"
"Market Harborough",52.554444444444,0.77222222222222,3,"2015-03-21 14:00:00"
"Northampton Kingsthorpe",52.271886111111,0.87989722222222,2,"2015-03-21 12:00:00"
"Leicester University",52.619822222222,1.1273111111111,2,"2015-03-21 14:00:00"
"Nottingham Centre",52.954730555556,1.1464472222222,2,"2015-03-21 14:00:00"
"Sandy Roadside",52.132416666667,0.30030555555556,2,"2015-03-21 14:00:00"
"Camden Kerbside",51.544211111111,0.17526944444444,3,"2015-03-21 14:00:00"
"Ealing Horn Lane",51.51895,0.26561666666667,3,"2015-03-21 14:00:00"
"Haringey Roadside",51.5993,0.068216666666667,2,"2015-03-21 14:00:00"
"London Bloomsbury",51.522288888889,0.12588888888889,3,"2015-03-21 14:00:00"
"London Haringey Priory Park South",51.584127777778,0.12525277777778,2,"2015-03-21 14:00:00"
"London Harlington",51.488788888889,0.44161388888889,3,"2015-03-21 13:00:00"
"London Harrow Stanmore",51.617333333333,0.29877777777778,2,"2015-03-21 14:00:00"
"London Hillingdon",51.496330555556,0.46086111111111,2,"2015-03-21 14:00:00"
"London Marylebone Road",51.522530555556,0.15461111111111,3,"2015-03-21 14:00:00"
"London N. Kensington",51.52105,0.21349166666667,2,"2015-03-21 14:00:00"
"London Teddington",51.420988888889,0.33964722222222,2,"2015-03-21 14:00:00"
"London Teddington Bushy Park",51.425286111111,0.34560555555556,2,"2015-03-21 14:00:00"
"London Westminster",51.494669444444,0.13193055555556,1,"2015-03-21 14:00:00"
"Tower Hamlets Roadside",51.522530555556,0.042155555555556,1,"2015-03-21 14:00:00"
"Fort William",56.822661111111,5.1011027777778,3,"2015-03-21 14:00:00"
Inverness,57.481308333333,4.24145,1,"2015-03-21 14:00:00"
Lerwick,60.139219444444,1.1853194444444,3,"2015-03-21 14:00:00"
Strathvaich,57.734455555556,4.7765833333333,3,"2015-03-21 14:00:00"
Billingham,54.605369444444,1.2750388888889,1,"2015-03-21 14:00:00"
Middlesbrough,54.569297222222,1.220875,3,"2015-03-21 14:00:00"
"Stockton-on-Tees A1305 Roadside",54.565819444444,1.3159,1,"2015-03-21 14:00:00"
"Stockton-on-Tees Eaglescliffe",54.516666666667,1.3585472222222,1,"2015-03-21 14:00:00"
"Sunderland Silksworth",54.883611111111,1.4068777777778,3,"2015-03-21 14:00:00"
"Sunderland Wessington Way",54.918388888889,1.4083916666667,1,"2015-03-21 14:00:00"
"Newcastle Centre",54.97825,1.6105277777778,3,"2015-03-21 14:00:00"
"Newcastle Cradlewell Roadside",54.986405555556,1.5953611111111,1,"2015-03-21 14:00:00"
Aberdeen,57.157361111111,2.0942777777778,3,"2015-03-21 14:00:00"
"Aberdeen Union Street Roadside",57.144555555556,2.1064722222222,1,"2015-03-21 13:00:00"
"Aston Hill",52.50385,3.0341777777778,2,"2015-03-21 14:00:00"
Wrexham,53.042219444444,3.0027777777778,1,"2015-03-21 14:00:00"
"Bury Whitefield Roadside",53.559027777778,2.2937722222222,2,"2015-03-21 13:00:00"
"Manchester Piccadilly",53.481519444444,2.2378805555556,2,"2015-03-21 14:00:00"
"Manchester South",53.369025,2.2432805555556,2,"2015-03-21 14:00:00"
"Salford Eccles",53.484811111111,2.3341388888889,1,"2015-03-21 14:00:00"
"Shaw Crompton Way",53.579283333333,2.0937861111111,1,"2015-03-21 14:00:00"
"Liverpool Queen's Drive Roadside",53.446944444444,2.9625,1,"2015-03-21 13:00:00"
"Liverpool Speke",53.346330555556,2.8443333333333,2,"2015-03-21 14:00:00"
"Blackburn Accrington Road",53.74775,2.452725,1,"2015-03-21 14:00:00"
"Blackpool Marton",53.804888888889,3.007175,2,"2015-03-21 14:00:00"
"Carlisle Roadside",54.894833333333,2.9453083333333,2,"2015-03-21 13:00:00"
Glazebury,53.460080555556,2.4720555555556,2,"2015-03-21 14:00:00"
"Great Dun Fell",54.684233333333,2.4508,3,"2015-03-21 14:00:00"
Preston,53.765588888889,2.6803527777778,2,"2015-03-21 14:00:00"
Warrington,53.389280555556,2.6153583333333,1,"2015-03-21 14:00:00"
"Widnes Milton Road",53.365391666667,2.7316805555556,1,"2015-03-21 14:00:00"
"Wigan Centre",53.549138888889,2.6381388888889,2,"2015-03-21 14:00:00"
"Wirral Tranmere",53.372869444444,3.0227222222222,2,"2015-03-21 14:00:00"
"Belfast Centre",54.59965,5.9288333333333,2,"2015-03-21 14:00:00"
"Belfast Stockman's Lane",54.572586111111,5.9749444444444,2,"2015-03-21 14:00:00"
"Armagh Roadside",54.353727777778,6.6545583333333,3,"2015-03-21 14:00:00"
"Ballymena Ballykeel",54.861594444444,6.2508722222222,1,"2015-03-21 14:00:00"
Derry,55.001225,7.3291138888889,3,"2015-03-21 14:00:00"
"Lough Navar",54.439511111111,7.9003277777778,3,"2015-03-21 14:00:00"
Dumfries,55.070033333333,3.6142333333333,1,"2015-03-21 14:00:00"
Eskdalemuir,55.315311111111,3.2061111111111,3,"2015-03-21 14:00:00"
Peebles,55.657472222222,3.1965277777778,3,"2015-03-21 14:00:00"
"Brighton Preston Park",50.840836111111,0.14757222222222,2,"2015-03-21 14:00:00"
Portsmouth,50.828811111111,1.0685833333333,3,"2015-03-21 14:00:00"
Harwell,51.571077777778,1.3252833333333,2,"2015-03-21 14:00:00"
Horley,51.165863888889,0.16773333333333,1,"2015-03-21 14:00:00"
"Oxford Centre Roadside",51.751744444444,1.2574638888889,1,"2015-03-21 14:00:00"
"Oxford St Ebbes",51.744805555556,1.2602777777778,2,"2015-03-21 14:00:00"
"Reading New Town",51.453088888889,0.94406666666667,2,"2015-03-21 14:00:00"
"Southampton Centre",50.908138888889,1.3957777777778,3,"2015-03-21 14:00:00"
"Storrington Roadside",50.916933333333,0.44954722222222,3,"2015-03-21 14:00:00"
"Cardiff Centre",51.481780555556,3.17625,2,"2015-03-21 14:00:00"
"Chepstow A48",51.638094444444,2.6787305555556,2,"2015-03-21 14:00:00"
Cwmbran,51.6538,3.0069527777778,2,"2015-03-21 14:00:00"
"Hafod-yr-ynys Roadside",51.680577777778,3.1335083333333,1,"2015-03-21 13:00:00"
Narberth,51.781783333333,4.6914611111111,3,"2015-03-21 14:00:00"
Newport,51.601202777778,2.9772805555556,2,"2015-03-21 14:00:00"
"Port Talbot Margam",51.58395,3.7708222222222,2,"2015-03-21 14:00:00"
"Swansea Roadside",51.632697222222,3.947375,1,"2015-03-21 14:00:00"
"Bristol St Paul's",51.462838888889,2.5844833333333,2,"2015-03-21 14:00:00"
"Barnstaple A39",51.074791666667,4.041925,2,"2015-03-21 14:00:00"
"Bath Roadside",51.391127777778,2.3541555555556,1,"2015-03-21 14:00:00"
Bournemouth,50.739569444444,1.8267444444444,2,"2015-03-21 14:00:00"
"Charlton Mackrell",51.05625,2.68345,3,"2015-03-21 14:00:00"
"Exeter Roadside",50.725083333333,3.5324638888889,1,"2015-03-21 13:00:00"
Honiton,50.792286111111,3.1967027777778,1,"2015-03-21 14:00:00"
"Plymouth Centre",50.371669444444,4.1423611111111,3,"2015-03-21 14:00:00"
"Saltash Callington Road",50.411463888889,4.2276777777778,2,"2015-03-21 14:00:00"
"Yarner Wood",50.5976,3.7165111111111,3,"2015-03-21 14:00:00"
"Coventry Allesley",52.411563888889,1.5602277777778,2,"2015-03-21 14:00:00"
"Leamington Spa",52.288811111111,1.5331194444444,2,"2015-03-21 14:00:00"
"Leamington Spa Rugby Road",52.294883333333,1.5429111111111,2,"2015-03-21 14:00:00"
Leominster,52.221738888889,2.7366638888889,3,"2015-03-21 14:00:00"
"Stoke-on-Trent Centre",53.028211111111,2.1751333333333,2,"2015-03-21 14:00:00"
"Birmingham Acocks Green",52.437163888889,1.83,2,"2015-03-21 14:00:00"
"Birmingham Tyburn",52.511722222222,1.8305833333333,2,"2015-03-21 14:00:00"
"Birmingham Tyburn Roadside",52.512194444444,1.8308611111111,2,"2015-03-21 14:00:00"
"Oldbury Birmingham Road",52.502436111111,2.0034972222222,1,"2015-03-21 13:00:00"
"Walsall Woodlands",52.605622222222,2.0305222222222,2,"2015-03-21 13:00:00"
"Sheffield Tinsley",53.410580555556,1.3961388888889,1,"2015-03-21 14:00:00"
"Leeds Centre",53.803780555556,1.5464722222222,3,"2015-03-21 14:00:00"
"Leeds Headingley Kerbside",53.819972222222,1.5763611111111,2,"2015-03-21 14:00:00"
"Barnsley Gawber",53.562919444444,1.5104361111111,3,"2015-03-21 14:00:00"
"High Muffles",54.334944444444,0.80855,3,"2015-03-21 14:00:00"
"Hull Freetown",53.748780555556,0.34122222222222,3,"2015-03-21 14:00:00"
"Hull Holderness Road",53.758972222222,0.30575,1,"2015-03-21 14:00:00"
"Scunthorpe Town",53.586338888889,0.63681111111111,2,"2015-03-21 14:00:00"
"York Bootham",53.967513888889,1.0865138888889,1,"2015-03-21 14:00:00"
"York Fishergate",53.951888888889,1.0758611111111,2,"2015-03-21 14:00:00"
